AIRLINE_ID,PAYLOAD,FREIGHT,MAIL,AIRCRAFT_GROUP
20409,37400,0,0,6
21171,37822,0,0,6
21171,37822,0,0,6
21080,5300,0,0,6
20354,10841,0,0,6
20354,23500,0,0,6
20354,10841,0,0,6
20354,12659,0,0,6
20354,10808,0,0,6
20354,12659,0,0,6
20201,21458,800,0,6
20201,21458,0,0,6
20368,95000,0,0,6
20368,95000,0,0,6
21352,2000,0,0,6
21352,4000,0,0,6
21352,4000,0,0,6
21352,2000,0,0,6
19805,51700,0,0,6
19805,51700,0,0,6
19790,49760,0,0,6
19790,34446,0,0,6
19790,50700,14,39,6
19790,49760,0,0,6
19790,38879,0,0,6
19790,29900,492,0,6
19790,34446,0,0,6
19790,50700,0,0,6
19790,49760,0,0,6
19790,49760,0,0,6
19790,32870,0,0,6
19790,38470,32,0,6
19790,38170,0,0,6
19790,38170,70,4,6
19790,49760,0,0,6
19790,32870,5,0,6
19790,49760,28,0,6
19790,38170,0,226,6
19790,99520,0,0,6
19790,49760,0,0,6
20402,42500,0,0,6
20402,42500,0,0,6
20402,42500,0,0,6
19977,34279,4,0,6
19977,41006,10064,0,6
19977,38700,0,282,6
19977,34771,1,0,6
19977,35906,0,0,6
19977,36926,0,0,6
19977,40581,10064,0,6
19977,54393,0,0,8
19393,69200,2628,0,6
19393,69200,1614,0,6
19393,43400,252,0,6
19393,34600,1280,0,6
19393,34600,151,0,6
19393,43400,167,0,6
19393,43400,120,0,6
19393,34600,0,0,6
19393,34600,0,0,6
19393,34600,0,0,6
19393,43400,0,0,6
19393,34600,1348,0,6
19393,43400,0,0,6
21652,1600,0,0,5
21652,1600,0,0,5
21652,2400,0,0,6
21652,1600,0,0,5
21652,2400,0,0,6
21652,1600,0,0,5
20377,68370,0,0,6
21161,151660,0,0,6
21161,75830,0,0,6
21161,75830,0,0,6
21161,75830,0,0,6
21161,227490,0,0,6
21161,75830,0,0,6
21161,75830,0,0,6
21161,75830,0,0,6
21161,75830,0,0,6
20372,23000,8878,0,6
20372,23000,8878,0,6
21635,12343,0,0,6
21635,12343,0,0,6
20422,82501,0,0,6
20422,43411,0,0,6
20422,43116,0,0,6
20422,43116,0,0,6
20422,43411,0,0,6
20422,43411,0,0,6
20422,43116,0,0,6
20422,42116,0,0,6
20447,5600,270,0,6
20447,5600,270,0,6
20190,1668260,627144,0,6
20190,1668260,431309,0,6
19930,41080,0,0,6
19930,41080,0,0,6
20237,11118,0,0,6
20237,11118,0,0,6
20225,7600,0,0,4
20225,334400,0,0,4
20225,144400,0,0,4
20225,342000,0,0,4
20225,174800,0,0,4
20225,22800,0,0,4
20225,425600,0,0,4
20225,364800,0,0,4
20225,144400,0,0,4
20225,425600,0,0,4
20225,364800,0,0,4
20225,7600,0,0,4
20225,159600,0,0,4
20358,4500,0,0,4
20358,4500,0,0,4
21599,1600,0,0,4
20354,10808,0,0,6
20354,10841,0,0,6
20354,10808,0,0,6
20354,34308,0,0,6
20368,101000,0,0,6
20368,101000,0,0,6
19805,40400,450,266,6
19805,39900,0,0,6
19805,39400,0,0,6
19805,50200,428,0,6
19805,48100,0,0,6
19805,39900,550,0,6
19805,50200,0,54,6
19805,40400,450,266,6
19805,40400,0,521,6
19805,51700,0,460,6
19805,39900,0,0,6
19790,29900,0,0,6
19790,29900,0,0,6
19790,77758,0,0,6
19790,40870,0,0,6
19790,41370,6,0,6
19790,29900,53,0,6
19790,38879,21,0,6
20500,17610,0,0,6
20500,17610,0,0,6
20304,13500,0,0,6
20304,13500,0,0,6
20304,13500,0,0,6
20304,13500,0,0,6
20304,13500,0,0,6
20304,15200,0,0,6
20304,18740,0,0,6
20304,18740,0,0,6
20304,15200,0,0,6
20304,15200,0,0,6
20304,13500,0,0,6
20304,13500,0,0,6
20304,18740,0,0,6
20304,15200,0,0,6
20304,15200,0,0,6
20304,18740,0,0,6
20304,18740,0,0,6
20304,18740,0,0,6
20304,18740,0,0,6
20304,15200,0,0,6
20304,13500,0,0,6
